track_id,track_name,artist_name,album_name,year,popularity,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,duration_min,popularity_group
3hfdsmMO0mIh7YR6voniZ0,BAE BAE - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,9,0.452,0.923,0.00301,0.0,0.394,-5.505,0.0917,139.987,0.637,0.0,1.0,4.0,4.7435,비인기곡
3nDTY9h224ZLtgUlJ64Bly,BAE BAE - KR Ver. BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,12,0.459,0.931,0.00413,0.0,0.857,-4.36,0.0458,140.024,0.611,0.0,1.0,4.0,5.288666666666667,비인기곡
0qdJctmCqOqUL3kanmkmRi,FEELING - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,10,0.478,0.969,0.0127,0.0,0.872,-5.197,0.153,127.022,0.47,7.0,1.0,4.0,3.6864333333333335,비인기곡
0wjAWaUxM3moRA6jvtsxPJ,HANDS UP - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,10,0.438,0.946,0.000727,0.0,0.826,-5.953,0.107,129.893,0.175,9.0,0.0,4.0,4.01,비인기곡
0Vhmd3nrLXS9cVMiFaXg1T,RINGA LINGA - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,10,0.365,0.929,0.000824,0.0058,0.172,-6.011,0.0948,141.038,0.211,3.0,0.0,4.0,2.6360166666666665,비인기곡
04ByY4xVNuB5GOEQOC1lgO,RED SUNSET - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,10,0.547,0.891,0.00992,0.0,0.897,-7.217,0.114,124.978,0.426,10.0,0.0,4.0,2.5625333333333336,비인기곡
2uqJut4F2MR7LfvxZFMHBX,LAST FAREWELL - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,9,0.458,0.962,0.000319,0.0,0.515,-6.351,0.164,134.833,0.29,6.0,0.0,4.0,3.5288,비인기곡
1dhG8sn3sIikOf5FeLcb0y,ALWAYS - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,9,0.479,0.935,0.000547,0.0,0.379,-6.442,0.0898,116.07,0.239,1.0,1.0,4.0,3.9963,비인기곡
7tkE3Z5FHaqhaRnef6Dmrz,LIES - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,10,0.483,0.944,0.0125,0.0,0.933,-6.659,0.112,125.029,0.301,1.0,1.0,4.0,2.70855,비인기곡
54grx49WqXCNMYslquykBW,LAST DANCE - KR Ver. BIGBANG SPECIAL EVENT -HAJIMARI NO SAYONARA-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,14,0.515,0.673,0.294,0.0,0.876,-6.639,0.0533,144.293,0.346,1.0,0.0,4.0,4.95645,비인기곡
5XGGyTx1meVvA7ZNMMuYS7,IF YOU - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,13,0.564,0.545,0.413,0.0,0.501,-6.651,0.0273,141.758,0.328,1.0,1.0,4.0,4.865783333333333,비인기곡
